 Emin                                                                                                                   
  -0.000872131085d0
  Rmin/ang     Rmin/bohr       alpha(morse)-use-with-this-Re(bohr)                                                      
      0.1161287540428520D+01      0.2194515245360671D+01        0.5291772490000000D+00      0.2194727269729504D+01      
r12ref,alpha,De1,De2                                                                                                    
        1.1613997389        0.5291772490         155000.0000          40000.0000                                        
Ae1,Ae2                                                                                                                 
          40000.0000          20000.0000                                                                                
edamp2,edamp4,edamp5,edamp6                                                                                             
             -2.0000             -4.0000             -0.2500             -0.5000                                        
 Ncoe                                                                                                                   
          219                                                                                                           
    0    0    0  0.320605241659D+01
    0    0    1 -0.217779435884D+02
    0    0    2  0.734947388467D+02
    0    0    3 -0.153084348791D+03
    0    0    4  0.208997372693D+03
    0    0    5 -0.188332577008D+03
    0    0    6  0.108216862011D+03
    0    0    7 -0.360034296157D+02
    0    0    8  0.528240709273D+01
    1    0    0 -0.144450326490D+02
    1    0    1  0.101512254831D+03
    1    0    2 -0.337320313557D+03
    1    0    3  0.673727587385D+03
    1    0    4 -0.868582179757D+03
    1    0    5  0.731592563442D+03
    1    0    6 -0.390075464932D+03
    1    0    7  0.119729312062D+03
    1    0    8 -0.161337913085D+02
    1    1    0  0.867312187370D+02
    1    1    1 -0.847856014277D+03
    1    1    2  0.395574156942D+04
    1    1    3 -0.109208499989D+05
    1    1    4  0.190293584647D+05
    1    1    5 -0.211753813717D+05
    1    1    6  0.146138014533D+05
    1    1    7 -0.570499779241D+04
    1    1    8  0.963738474071D+03
    2    0    0 -0.283655584993D+01
    2    0    1  0.219382247631D+03
    2    0    2 -0.147291757483D+04
    2    0    3  0.467882566528D+04
    2    0    4 -0.865343615025D+04
    2    0    5  0.986646425831D+04
    2    0    6 -0.686182720472D+04
    2    0    7  0.267816048244D+04
    2    0    8 -0.450701262010D+03
    2    1    0  0.283296032752D+02
    2    1    1 -0.288168297402D+03
    2    1    2  0.941728451809D+03
    2    1    3 -0.120981441655D+04
    2    1    4 -0.192999916100D+02
    2    1    5  0.179043334194D+04
    2    1    6 -0.203629328424D+04
    2    1    7  0.965692139254D+03
    2    1    8 -0.172778354806D+03
    2    2    0 -0.210218417177D+03
    2    2    1  0.134147240589D+04
    2    2    2 -0.236156535873D+04
    2    2    3 -0.152034949281D+03
    2    2    4  0.351992525454D+04
    2    2    5  0.103372638027D+03
    2    2    6 -0.665219348242D+04
    2    2    7  0.617261332798D+04
    2    2    8 -0.175718175539D+04
    3    0    0 -0.515948330516D+02
    3    0    1  0.369730441774D+03
    3    0    2 -0.180583400573D+04
    3    0    3  0.588963735621D+04
    3    0    4 -0.122041641230D+05
    3    0    5  0.158158951561D+05
    3    0    6 -0.124412699229D+05
    3    0    7  0.544148646967D+04
    3    0    8 -0.101640768845D+04
    3    1    0 -0.135149869941D+03
    3    1    1  0.991975662919D+03
    3    1    2 -0.282232563428D+04
    3    1    3  0.407901288228D+04
    3    1    4 -0.345468188061D+04
    3    1    5  0.246942878466D+04
    3    1    6 -0.215301480728D+04
    3    1    7  0.140042079444D+04
    3    1    8 -0.375027757489D+03
    3    2    0 -0.393248844751D+03
    3    2    1  0.870801240816D+03
    3    2    2  0.107312585239D+04
    3    2    3 -0.373670825471D+04
    3    2    4  0.162381033214D+03
    3    2    5  0.637391437374D+04
    3    2    6 -0.615300691354D+04
